"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/treygardner/Documents/dev/CS3300/CS3300-Course-Project/web_page/games/path_to_paradise/path_to_paradise.js", "JavaScript", 50, 0, 7, 8, 65
"/Users/treygardner/Documents/dev/CS3300/CS3300-Course-Project/web_page/games/path_to_paradise/story.json", "JSON", 0, 9, 0, 10, 19
"/Users/treygardner/Documents/dev/CS3300/CS3300-Course-Project/web_page/games/type_sprint/type_sprint.js", "JavaScript", 6, 0, 0, 0, 6
"Total", "-", 56, 9, 7, 18, 90
